Category,Brand,Product Name,Size,Province,# Stores,Total Stores,'% of Stores,Avg Price,date
,zz_comp_XMG,MANGO PINEAPPLE,1x236ml,NB,26,29,0.896551724,6.999615376,2024-03-24
,zz_comp_CANN SOCIAL TONIC,LEMON LAVENDER,4 Pack,ON,26,1631,0.01594114,19.53814793,2024-03-24
,zz_comp_ACE VALLEY,DAYLIGHT SPARKLING BEVERAGE,222ml,NB,25,29,0.862068966,6,2024-03-24
,zz_comp_TWEED,GUAVA ICED TEA,355mL,NB,25,29,0.862068966,6,2024-03-24
,zz_comp_COLLECTIVE PROJECT,MANGO PINEAPPLE & COCONUT SPARKLING JUICE,1x355ml,AB,24,566,0.042402827,9.240833064,2024-03-24
,zz_comp_KEEF,ORANGE KUSH CLASSIC SODA,1x355ml,ON,21,1631,0.012875536,7.515454422,2024-03-24
,zz_comp_TWEED,FIZZ MANGO,1x355ml,NL,21,33,0.636363636,6.112857137,2024-03-24
,zz_comp_LITTLE VICTORY,SPARKLING PEACH,355ml,BC,18,389,0.046272494,4.892777734,2024-03-24
,zz_comp_CANN SOCIAL TONIC,BLOOD ORANGE CARDAMOM,4 Pack,BC,18,389,0.046272494,18.87499989,2024-03-24
,zz_comp_HOUSE OF TERPENES,LIMONENE & SPARKLING TONIC,1x355ml,ON,17,1631,0.010423053,6.812941074,2024-03-24
,zz_comp_LITTLE VICTORY,SPARKLING PEACH,355ml,AB,16,566,0.028268551,5.284999818,2024-03-24
,zz_comp_TWEED,FIZZ WATERMELON,1x355ml,ON,16,1631,0.009809933,5.007499859,2024-03-24
,GREEN MONKE,ORANGE PASSIONFRUIT SPARKLING SODA,1x350ml,SK,16,136,0.117647059,6.18749994,2024-03-24
,GREEN MONKE,PINEAPPLE COCONUT,350ml,SK,15,136,0.110294118,6.09066658,2024-03-24
,GREEN MONKE,MANGO GUAVA SPARKLING SODA,1x350ml,SK,12,136,0.088235294,5.796666622,2024-03-24
,zz_comp_KEEF,ORANGE KUSH CLASSIC SODA,1x355ml,MB,12,132,0.090909091,7.408333143,2024-03-24
,GREEN MONKE,TROPICAL CITRUS,350ml,SK,11,136,0.080882353,8.029999993,2024-03-24
,zz_comp_SWEET JUSTICE,OG COLA,1x355ml,SK,11,136,0.080882353,7.874545357,2024-03-24
,zz_comp_LITTLE VICTORY,SPARKLING PEACH,355ml,MB,11,132,0.083333333,5.265454379,2024-03-24
,zz_comp_COLLECTIVE PROJECT,BLOOD ORANGE YUZU SOUR SQUEEZY,4 Pack,MB,10,132,0.075757576,8,2024-03-24
,zz_comp_CANN SOCIAL TONIC,LEMON LAVENDER,4 Pack,SK,9,136,0.066176471,18.4333335,2024-03-24
,zz_comp_CANN SOCIAL TONIC,BLOOD ORANGE CARDAMOM,4 Pack,SK,9,136,0.066176471,18.7622225,2024-03-24
,zz_comp_LITTLE VICTORY,SPARKLING PEACH,355ml,SK,7,136,0.051470588,5.363749921,2024-03-24
,zz_comp_ACE VALLEY,MOONWAVE SPARKLING BEVERAGE,222ml,ON,7,1631,0.004291845,4.612857035,2024-03-24
,zz_comp_TWEED,FIZZ WATERMELON,1x355ml,AB,7,566,0.012367491,5.991428375,2024-03-24
,zz_comp_ACE VALLEY,DAYLIGHT SPARKLING BEVERAGE,222ml,SK,7,136,0.051470588,3.942857197,2024-03-24
,zz_comp_TWEED,FIZZ WATERMELON,1x355ml,SK,7,136,0.051470588,5.384285654,2024-03-24
,zz_comp_COOKIES,GEORGIA PIE CALIFORNIA PEACH ICED TEA,355ml,BC,6,389,0.015424165,8.490000089,2024-03-24
,zz_comp_ACE VALLEY,DAYLIGHT SPARKLING BEVERAGE,222ml,ON,6,1631,0.003678725,4.756666581,2024-03-24
,zz_comp_ACE VALLEY,DAYLIGHT SPARKLING BEVERAGE,222ml,MB,6,132,0.045454545,4.936666648,2024-03-24
,zz_comp_IMPROMPTU,CBD GOJI GRAPEFRUIT KOMBUCHA,1x330ml,MB,6,132,0.045454545,8.45571409,2024-03-24
,zz_comp_ACE VALLEY,MOONWAVE SPARKLING BEVERAGE,222ml,SK,6,136,0.044117647,3.735000054,2024-03-24
,zz_comp_HOUSE OF TERPENES,LIMONENE & SPARKLING TONIC,1x355ml,BC,6,389,0.015424165,5.964999994,2024-03-24
,zz_comp_CANN SOCIAL TONIC,GRAPEFRUIT ROSEMARY,4 Pack,BC,6,389,0.015424165,18.10499986,2024-03-24
,zz_comp_ACE VALLEY,DAYLIGHT SPARKLING BEVERAGE,222ml,AB,5,566,0.008833922,4.909999847,2024-03-24
,zz_comp_TWEED,GUAVA ICED TEA,355mL,SK,5,136,0.036764706,5.557999897,2024-03-24
,zz_comp_QUATREAU,BLUEBERRY ACAI SPARKLING WATER,1x355ml,BC,5,389,0.01285347,4.073999977,2024-03-24
,zz_comp_COLLECTIVE PROJECT,BLOOD ORANGE YUZU SOUR SQUEEZY,4 Pack,SK,5,136,0.036764706,7,2024-03-24
,zz_comp_CANN SOCIAL TONIC,GRAPEFRUIT ROSEMARY,4 Pack,SK,5,136,0.036764706,18.18800049,2024-03-24
,zz_comp_CANN SOCIAL TONIC,GRAPEFRUIT ROSEMARY,4 Pack,QC,5,98,0.051020408,20.89999962,2024-03-24
,zz_comp_TWEED,GUAVA ICED TEA,355mL,ON,4,1631,0.002452483,5.972499847,2024-03-24
,zz_comp_QUATREAU,BLUEBERRY ACAI SPARKLING WATER,1x355ml,ON,4,1631,0.002452483,4.332499921,2024-03-24
,zz_comp_COLLECTIVE PROJECT,MANGO PINEAPPLE & COCONUT SPARKLING JUICE,1x355ml,NS,4,50,0.08,7.989999771,2024-03-24
